PO_Key,Package_Original,Subpackage_Original,Reassigned_Package,Reassigned_SubPackage,purchase_order_description,po_total_amount_ordered_in_usd_currency,material_group_description,Vendor Name,VBS Category1,VBS Category 2,,
450489762110,Maintenance,Building & Facilities Maint. Materials,Maintenance,Building & Facilities Maint. Materials,GCC - Stethoscope,14.58251,FACILITIES MANAGEMENT SERVICES,Apollo Hospitals Enterprise Limited,Services,SERVICES,,
450504914210,Services,Document & Archiving Services,Services,Other Services,GCC - AMC Charges payable to NDML,145.758146,FACILITIES MANAGEMENT SERVICES,Vignesh Business Services Pvt Ltd,Logistics Support,LOGISTICS SUPPORT,,
450505991310,Non ZBB,Non ZBB Accounts,Maintenance,Building & Facilities Maint. Materials,GCC - Reception Area 1 - Includes Pine W,4778.68083,FACILITIES MANAGEMENT SERVICES,SPECTARC,Lease of Vehicle,LEASES AND RENTALS,,
450517749110,Non ZBB,Non ZBB Accounts,Maintenance,Industrial Equip & Machinery Maint. Materials (P&M),"GCC-Supply,Installation,Testing of Acces",3705.742728,FACILITIES MANAGEMENT SERVICES,Chubb Alba Control Systems Ltd,Facility Benefit,PEOPLE,,
450519941810,Maintenance,Building & Facilities Maint. Materials,Maintenance,Building & Facilities Maint. Materials,GCC - Electrical charging point for elec,1923.239151,FACILITIES MANAGEMENT SERVICES,Jones Lang LaSalle Property Consult,Other Leases/Rentals,LEASES AND RENTALS,,
450529498210,#N/A,#N/A,#N/A,#N/A,GCC-Service Charge for obtaining Form I,137.840915,FACILITIES MANAGEMENT SERVICES,Vignesh Business Services Pvt Ltd,Logistics Support,LOGISTICS SUPPORT,,
450406111720,Institutional,Internal Events,Taxes,Other Taxes,GST@18%,248.038202,BRAND EVENTS,SPECTARC,Lease of Vehicle,LEASES AND RENTALS,,
450428650220,#N/A,#N/A,#N/A,#N/A,AT&T GAC MPLS (amended),8151.795039,TELECOMMUNICATION EQUIPMENT AND COMPONENTS,AT&T Communication Services India P,Telecom - Telephone Services,TECHNOLOGY,,
450223460150,#N/A,#N/A,#N/A,#N/A,Consolidated Transportation,30.810445,INTERNAL EVENT ORGANISATION MANAGEMENT SERVICE,GREEN ENTERPRISE,Catering / Cafeteria / Vending,PEOPLE,,
450314825630,#N/A,#N/A,#N/A,#N/A,E&Y-Accounting Services Quarter Fee,375.345252,ACCOUNTING  SERVICES,Ernst & Young LLP,Consultant,FEES,,
450223460160,#N/A,#N/A,#N/A,#N/A,handling fees,39.160076,INTERNAL EVENT ORGANISATION MANAGEMENT SERVICE,GREEN ENTERPRISE,Catering / Cafeteria / Vending,PEOPLE,,
450407245620,#N/A,#N/A,#N/A,#N/A,GAC Diwali Decoration/innvathon,40.788504,DISPLAYS,TIMESOL FACILITY MANAGEMENT PVT LTD,Office Supplies,OFFICE UTILITIES,,
450267984720,#N/A,#N/A,#N/A,#N/A,Requirement,,IT/ TELECOM SERVICE,Wipro Limited,Application Support,TECHNOLOGY,,
450267984730,#N/A,#N/A,#N/A,#N/A,analyze and design 4 hrs,,IT/ TELECOM SERVICE,Wipro Limited,Application Support,TECHNOLOGY,,
450267984740,#N/A,#N/A,#N/A,#N/A,BUILD AND CODE 8 hrs,,IT/ TELECOM SERVICE,Wipro Limited,Application Support,TECHNOLOGY,,
450335639740,Services,Administrative Support,Fees,Audit Financial,Audit Support fee for GAC- one time,3678.74979,ACCOUNTING  SERVICES,Ernst & Young LLP,Consultant,FEES,,
450267984750,#N/A,#N/A,#N/A,#N/A,Unit/System/Integration Testing 6 hrs,,IT/ TELECOM SERVICE,Wipro Limited,Application Support,TECHNOLOGY,,
450267984760,#N/A,#N/A,#N/A,#N/A,UAT testing 4 hrs,,IT/ TELECOM SERVICE,Wipro Limited,Application Support,TECHNOLOGY,,
450267984770,#N/A,#N/A,#N/A,#N/A,Project Planning and Monitoring 3.6 hrs,,IT/ TELECOM SERVICE,Wipro Limited,Application Support,TECHNOLOGY,,
450335639770,Services,Administrative Support,Fees,Audit Financial,EY Retainer for 3 months- Option 1,896.172879,ACCOUNTING  SERVICES,Ernst & Young LLP,Consultant,FEES,,
450362240520,Legal,Legal Fees,Legal,Legal Fees,PROFESSIONAL FEE-FEB 2017,5679.07,LEGAL SERVICES,Baker & McKenzie LLP,Consultant,FEES,Legal,Legal Fees
450352902720,Services,Administrative Support,Fees,Audit Financial,EY Audit support fee,3715.250151,ACCOUNTING  SERVICES,Ernst & Young LLP,Consultant,FEES,,
450362240530,Legal,Legal Fees,Legal,Legal Fees,PROFESSIONAL FEE-MARCH 2017,8894.27,LEGAL SERVICES,Baker & McKenzie LLP,Consultant,FEES,Legal,Legal Fees
450397569320,Fees,Consulting (recurring),Fees,Consulting (project-based),Sharepoint Developer,2052.746076,CONSULTANCY,Accenture Solutions Pvt. Ltd.,Application Support,TECHNOLOGY,,
450382891020,Legal,Legal Fees,Legal,Legal Fees,Review of 2015-16 Annual compliances,2173.410059,LEGAL SERVICES,Ernst & Young LLP,Consultant,FEES,Legal,Legal Fees
450382891030,Legal,Legal Fees,Legal,Legal Fees,Annual compliances for 2016-17,8037.804218,LEGAL SERVICES,Ernst & Young LLP,Consultant,FEES,Legal,Legal Fees
4502554687310,#N/A,#N/A,#N/A,#N/A,Panduit Labels for Patch Cords (Box of 2,110.019983,CORD,i4 Communication Private Limited,Data Center – Facilities,TECHNOLOGY,,
450442985320,Fees,Consulting (recurring),Fees,Consulting (project-based),Deposit for Mythili Ramesh,32848.20189,TRAVEL ACCOMODATION,MYTHILI RAMESH,Lease of Real Estate,LEASES AND RENTALS,,
450469853620,Technology,Workplace,Technology,Workplace,Installation costs for the racks,707.537489,NETWORK SERVICES,i4 Communication Private Limited,Data Center – Facilities,TECHNOLOGY,,
450468851120,Technology,Workplace,Technology,Workplace,Shared challenge equipament FEB event,3833.527333,INTERNAL EVENT ORGANISATION,Epitome Infotech Solutions Pvt Ltd,Application Support,TECHNOLOGY,,
450379873420,#N/A,#N/A,#N/A,#N/A,1 resource proficient in Excel Macros +,571.950016,RECRUITMENT,Byond HR Services Private limited,Office Supplies,OFFICE UTILITIES,,
450273080790,#N/A,#N/A,#N/A,#N/A,"""Supply and fabrication of 1 ¼ x 1/8 S S",451.889985,FACILITIES CONSTRUCTION SERVICES,COCKTAILZ,Lease of Vehicle,LEASES AND RENTALS,,
450323837630,#N/A,#N/A,#N/A,#N/A,Bharti Airtel,5108.412695,IT/ TELECOM SERVICE,Bharti Airtel Limited,Telecom - Data Communication Services,TECHNOLOGY,,
450289420750,#N/A,#N/A,#N/A,#N/A,Single Leaf Glazed doors - 1000 x 2400mm,511.127172,FACILITIES CONSTRUCTION SERVICES,Jones Lang LaSalle Property Consult,Other Leases/Rentals,LEASES AND RENTALS,,
450289420760,#N/A,#N/A,#N/A,#N/A,Installation for Line 5,82.026128,FACILITIES CONSTRUCTION SERVICES,Jones Lang LaSalle Property Consult,Other Leases/Rentals,LEASES AND RENTALS,,
450289420790,#N/A,#N/A,#N/A,#N/A,Single Leaf Glazed doors Domestic,732.899871,FACILITIES CONSTRUCTION SERVICES,Jones Lang LaSalle Property Consult,Other Leases/Rentals,LEASES AND RENTALS,,
4502894207100,#N/A,#N/A,#N/A,#N/A,Freight and Packing,1382.617494,FACILITIES CONSTRUCTION SERVICES,Jones Lang LaSalle Property Consult,Other Leases/Rentals,LEASES AND RENTALS,,
4502894207110,#N/A,#N/A,#N/A,#N/A,Custom Duty & Clearance,3586.092819,FACILITIES CONSTRUCTION SERVICES,Jones Lang LaSalle Property Consult,Other Leases/Rentals,LEASES AND RENTALS,,
4502894207120,#N/A,#N/A,#N/A,#N/A,VAT  14.5%,3322.803863,FACILITIES CONSTRUCTION SERVICES,Jones Lang LaSalle Property Consult,Other Leases/Rentals,LEASES AND RENTALS,,
4502894207130,#N/A,#N/A,#N/A,#N/A,Service tax,281.752292,FACILITIES CONSTRUCTION SERVICES,Jones Lang LaSalle Property Consult,Other Leases/Rentals,LEASES AND RENTALS,,
4502894207140,#N/A,#N/A,#N/A,#N/A,JLL fee @ 3%,889.222879,FACILITIES CONSTRUCTION SERVICES,Jones Lang LaSalle Property Consult,Other Leases/Rentals,LEASES AND RENTALS,,
4502931054140,#N/A,#N/A,#N/A,#N/A,VGA CABLE,22.370762,FACILITIES CONSTRUCTION SERVICES,Chubb Alba Control Systems Ltd,Facility Benefit,PEOPLE,,
4502931054150,#N/A,#N/A,#N/A,#N/A,AS - BUILT DRAWINGS   &  Documentation,335.561431,FACILITIES CONSTRUCTION SERVICES,Chubb Alba Control Systems Ltd,Facility Benefit,PEOPLE,,
450313203150,#N/A,#N/A,#N/A,#N/A,Restroom Graphic/Signage,225.207151,FACILITIES CONSTRUCTION SERVICES,SPECTARC,Lease of Vehicle,LEASES AND RENTALS,,
4503132031100,#N/A,#N/A,#N/A,#N/A,Restroom Graphic/Signage,225.207151,FACILITIES CONSTRUCTION SERVICES,SPECTARC,Lease of Vehicle,LEASES AND RENTALS,,
4503132031150,#N/A,#N/A,#N/A,#N/A,Restroom Graphic/Signage,225.207151,FACILITIES CONSTRUCTION SERVICES,SPECTARC,Lease of Vehicle,LEASES AND RENTALS,,
450313203650,#N/A,#N/A,#N/A,#N/A,Restroom Graphic/Signage,75.06905,FACILITIES CONSTRUCTION SERVICES,UNOARA DESIGN HUB,Lease of Vehicle,LEASES AND RENTALS,,
4503132036100,#N/A,#N/A,#N/A,#N/A,Restroom Graphic/Signage,75.06905,FACILITIES CONSTRUCTION SERVICES,UNOARA DESIGN HUB,Lease of Vehicle,LEASES AND RENTALS,,
4503132036150,#N/A,#N/A,#N/A,#N/A,Restroom Graphic/Signage,75.06905,FACILITIES CONSTRUCTION SERVICES,UNOARA DESIGN HUB,Lease of Vehicle,LEASES AND RENTALS,,
450356065120,Non ZBB,Non ZBB Accounts,Marketing,Brand Promotion,Dream culture People branding work,2229.15009,FACILITIES CONSTRUCTION SERVICES,SPECTARC,Lease of Vehicle,LEASES AND RENTALS,,
450356808420,Maintenance,Building & Facilities Maint. Materials,Maintenance,Building & Facilities Maint. Materials,12th Floor - Backlight display board mad,2912.736948,FACILITIES CONSTRUCTION SERVICES,SPECTARC,Lease of Vehicle,LEASES AND RENTALS,,
450356808430,Maintenance,Building & Facilities Maint. Materials,Maintenance,Building & Facilities Maint. Materials,13th Floor - Backlight display board mad,2244.1759,FACILITIES CONSTRUCTION SERVICES,SPECTARC,Lease of Vehicle,LEASES AND RENTALS,,
450357488820,Maintenance,Building & Facilities Maint. Materials,Maintenance,Building & Facilities Maint. Materials,Design Castle Beer on 12th Floor on a su,965.557416,FACILITIES CONSTRUCTION SERVICES,SPECTARC,Lease of Vehicle,LEASES AND RENTALS,,
450357488830,Maintenance,Building & Facilities Maint. Materials,Maintenance,Building & Facilities Maint. Materials,Design Haywards 5000 on 13th Floor on a,603.473385,FACILITIES CONSTRUCTION SERVICES,SPECTARC,Lease of Vehicle,LEASES AND RENTALS,,
450357488840,Maintenance,Building & Facilities Maint. Materials,Maintenance,Building & Facilities Maint. Materials,Design Stella Artois Think Tank Wall 13t,428.533909,FACILITIES CONSTRUCTION SERVICES,SPECTARC,Lease of Vehicle,LEASES AND RENTALS,,
450357488850,Maintenance,Building & Facilities Maint. Materials,Maintenance,Building & Facilities Maint. Materials,12th Floor to cover existing 10 principl,443.375889,FACILITIES CONSTRUCTION SERVICES,SPECTARC,Lease of Vehicle,LEASES AND RENTALS,,
450357489320,Maintenance,Building & Facilities Maint. Materials,Maintenance,Building & Facilities Maint. Materials,P/F of Pillar 01 vinyl with graphic prin,158.213996,FACILITIES CONSTRUCTION SERVICES,UNOARA DESIGN HUB,Lease of Vehicle,LEASES AND RENTALS,,
450357489330,Maintenance,Building & Facilities Maint. Materials,Maintenance,Building & Facilities Maint. Materials,Removing old MDF panel stickers and past,36.916599,FACILITIES CONSTRUCTION SERVICES,UNOARA DESIGN HUB,Lease of Vehicle,LEASES AND RENTALS,,
450357489340,Maintenance,Building & Facilities Maint. Materials,Unassigned,Unassigned,Logistics & transportation charges for t,52.737999,FACILITIES CONSTRUCTION SERVICES,UNOARA DESIGN HUB,Lease of Vehicle,LEASES AND RENTALS,,
450359895220,Maintenance,Building & Facilities Maint. Materials,Maintenance,Building & Facilities Maint. Materials,10th Floor new creatives for two wall sp,428.985949,FACILITIES CONSTRUCTION SERVICES,UNOARA DESIGN HUB,Lease of Vehicle,LEASES AND RENTALS,,
450359895230,Maintenance,Building & Facilities Maint. Materials,Maintenance,Building & Facilities Maint. Materials,10th Floor Bud Red Logo & Wall space wit,85.812258,FACILITIES CONSTRUCTION SERVICES,UNOARA DESIGN HUB,Lease of Vehicle,LEASES AND RENTALS,,
450359895240,Maintenance,Building & Facilities Maint. Materials,Maintenance,Building & Facilities Maint. Materials,"Wall branding on 11,12 & 13 – Castle, KO",370.145411,FACILITIES CONSTRUCTION SERVICES,UNOARA DESIGN HUB,Lease of Vehicle,LEASES AND RENTALS,,
450359895260,Maintenance,Building & Facilities Maint. Materials,Maintenance,Building & Facilities Maint. Materials,13th Floor Stella Think Tank creative –,133.201117,FACILITIES CONSTRUCTION SERVICES,UNOARA DESIGN HUB,Lease of Vehicle,LEASES AND RENTALS,,
450394522020,Maintenance,Building & Facilities Maint. Materials,Maintenance,Building & Facilities Maint. Materials,Corona  Branding:Supply and Installation,275.925838,FACILITIES CONSTRUCTION SERVICES,SPECTARC,Lease of Vehicle,LEASES AND RENTALS,,
450394522030,Maintenance,Building & Facilities Maint. Materials,Maintenance,Building & Facilities Maint. Materials,Removing and Fixing of Glass door at the,43.659152,FACILITIES CONSTRUCTION SERVICES,SPECTARC,Lease of Vehicle,LEASES AND RENTALS,,
450394522220,Maintenance,Building & Facilities Maint. Materials,Maintenance,Building & Facilities Maint. Materials,S/I of SS Sheet of 304 and .8mm thick Cl,5143.484653,FACILITIES CONSTRUCTION SERVICES,SPECTARC,Lease of Vehicle,LEASES AND RENTALS,,
450394522230,Maintenance,Building & Facilities Maint. Materials,Maintenance,Building & Facilities Maint. Materials,S/I of SS Sheet of 304 and .8mm thick Cl,2773.447607,FACILITIES CONSTRUCTION SERVICES,SPECTARC,Lease of Vehicle,LEASES AND RENTALS,,
450394522240,Maintenance,Building & Facilities Maint. Materials,Maintenance,Building & Facilities Maint. Materials,Leffe  Branding:Supply and Installation,321.913478,FACILITIES CONSTRUCTION SERVICES,SPECTARC,Lease of Vehicle,LEASES AND RENTALS,,
4503417479280,#N/A,#N/A,#N/A,#N/A,Wall A5,1.723878,FACILITIES MANAGEMENT SERVICES,UNOARA DESIGN HUB,Lease of Vehicle,LEASES AND RENTALS,,
450357923220,Services,Cleaning and Gardening,Services,Cleaning and Gardening,Sofa Shampooing ( INR 80 X 20 Nos),24.108799,FACILITIES MANAGEMENT SERVICES,Jones Lang LaSalle Property Consult,Other Leases/Rentals,LEASES AND RENTALS,,
4504013088270,#N/A,#N/A,#N/A,#N/A,LANDSCAPE SOFT ITEMS(POTS WITH REAL PLAN,689.355026,FACILITIES MANAGEMENT SERVICES,Jones Lang LaSalle Property Consult,Other Leases/Rentals,LEASES AND RENTALS,,
450418216420,Maintenance,Building & Facilities Maint. Materials,Maintenance,Building & Facilities Maint. Materials,Frosted film plain (3M) - 25.33 sft,59.022315,FACILITIES MANAGEMENT SERVICES,COCKTAILZ,Lease of Vehicle,LEASES AND RENTALS,,
450418216430,Maintenance,Building & Facilities Maint. Materials,Maintenance,Building & Facilities Maint. Materials,One way vision print (3M) - 833.33 sft,3883.538796,FACILITIES MANAGEMENT SERVICES,COCKTAILZ,Lease of Vehicle,LEASES AND RENTALS,,
450418216440,Maintenance,Building & Facilities Maint. Materials,Maintenance,Building & Facilities Maint. Materials,Wall Graphics (3M) - 680.25 sft,3804.174482,FACILITIES MANAGEMENT SERVICES,COCKTAILZ,Lease of Vehicle,LEASES AND RENTALS,,
450418216450,Maintenance,Building & Facilities Maint. Materials,Maintenance,Building & Facilities Maint. Materials,Peeling of existing graphics - 2070.33 s,1447.242978,FACILITIES MANAGEMENT SERVICES,COCKTAILZ,Lease of Vehicle,LEASES AND RENTALS,,
450418216460,Maintenance,Building & Facilities Maint. Materials,Maintenance,Building & Facilities Maint. Materials,Installation charges - 2750.58 sft,961.3825,FACILITIES MANAGEMENT SERVICES,COCKTAILZ,Lease of Vehicle,LEASES AND RENTALS,,
450429255420,Leases / rentals,Other Leases / Rentals,Leases / rentals,Lease of Real Estate,"Rent for 13th floor 48335 Sft,rate 53 IN",39284.82157,FACILITIES MANAGEMENT SERVICES,Bagmane Developers Pvt Ltd,Leases_and_Rentals,LEASES AND RENTALS,,
450429255430,Leases / rentals,Other Leases / Rentals,Leases / rentals,Lease of Real Estate,"Rent for 11th floor 46900 Sft,Rate 53 IN",38118.21139,FACILITIES MANAGEMENT SERVICES,Bagmane Developers Pvt Ltd,Leases_and_Rentals,LEASES AND RENTALS,,
4504682380240,#N/A,#N/A,#N/A,#N/A,Terrace,6.118155,FACILITIES MANAGEMENT SERVICES,SPECTARC,Lease of Vehicle,LEASES AND RENTALS,,
4504682380250,#N/A,#N/A,#N/A,#N/A,Terrace,6.118155,FACILITIES MANAGEMENT SERVICES,SPECTARC,Lease of Vehicle,LEASES AND RENTALS,,
4504682380280,#N/A,#N/A,#N/A,#N/A,Installation Charges,131.656494,FACILITIES MANAGEMENT SERVICES,SPECTARC,Lease of Vehicle,LEASES AND RENTALS,,
4504682380290,#N/A,#N/A,#N/A,#N/A,Trasportation Charges,15.488999,FACILITIES MANAGEMENT SERVICES,SPECTARC,Lease of Vehicle,LEASES AND RENTALS,,
4504682380300,#N/A,#N/A,#N/A,#N/A,SGST Tax @ 9%,91.846049,FACILITIES MANAGEMENT SERVICES,SPECTARC,Lease of Vehicle,LEASES AND RENTALS,,
4504682380310,#N/A,#N/A,#N/A,#N/A,CGST Tax @ 9%,91.846049,FACILITIES MANAGEMENT SERVICES,SPECTARC,Lease of Vehicle,LEASES AND RENTALS,,
450260543360,#N/A,#N/A,#N/A,#N/A,cricket tournament-handling charges,91.394134,CHARTERING SERVICES,GREEN ENTERPRISE,Catering / Cafeteria / Vending,PEOPLE,,
450308722320,#N/A,#N/A,#N/A,#N/A,Fee towards Transfer Pricing audit,2248.649147,FINANCIAL AUDIT,VISHNU DAYA & CO,Recruitment,PEOPLE,,
450242064360,#N/A,#N/A,#N/A,#N/A,JLL MANAGEMENT FEE,13082.22091,MANAGEMENT FEES,Jones Lang LaSalle Property Consult,Other Leases/Rentals,LEASES AND RENTALS,,
450445692520,Institutional,Internal Events,Taxes,Other Taxes,Renewal Taxes for Medical Servies,1871.080506,MEDICAL SERVICES,The New India Assurance Co Ltd,Health Benefits & Life Insurance,PEOPLE,,
450267939620,#N/A,#N/A,#N/A,#N/A,DIRECT NETAPP INSTALLATION,1385.795953,IT/ TELECOM SERVICE,AT&T Communication Services India P,Telecom - Telephone Services,TECHNOLOGY,,
450257802540,#N/A,#N/A,#N/A,#N/A,Photography charges (Photo Shoot + onspo,146.693311,PLUGS,COCKTAILZ,Lease of Vehicle,LEASES AND RENTALS,,
450250658820,#N/A,#N/A,#N/A,#N/A,Bonus Charges @ 2%,28116.828,FACILITIES CONSTRUCTION SERVICES,Jones Lang LaSalle Property Consult,Other Leases/Rentals,LEASES AND RENTALS,,
450452826820,Institutional,Internal Events,Taxes,Other Taxes,Addition Taxes for Medical Services,1874.668831,MEDICAL SERVICES,The New India Assurance Co Ltd,Health Benefits & Life Insurance,PEOPLE,,
450328886720,People,Training,People,Training,Impact-Cost for L@ABI training,,TRAINING COST,IMPACT INTERNATIONAL,Training,PEOPLE,,
450274000520,#N/A,#N/A,#N/A,#N/A,consultant fees-Career Net for Anvita,1492.827128,RECRUITMENT,CareerNet Technologies Pvt. Ltd.,Consultant,FEES,,
450537632620,Services,Administrative Support,Technology,Application Support,Dual 23” Flat Panel with Bloomberg’s PC,1895.419582,INFORMATION TECHNOLOGY & TELECOMMUNICATIONS EQUIPMENT,BLOOMBERG DATA SERVICES (INDIA) PVT,Application Support,TECHNOLOGY,,
450273671720,#N/A,#N/A,#N/A,#N/A,PT annual payment,37.384606,TAX CONSULTANCY,RJ Associates,Expert Fees,LEGAL,,
450452830020,Institutional,Internal Events,People,Pension & Savings Benefit,Medical Insurance Enrolment - New Hires,31244.48052,MEDICAL SERVICES,The New India Assurance Co Ltd,Health Benefits & Life Insurance,PEOPLE,,
450415079320,Institutional,Internal Events,Institutional,Internal Events,Timesol event handling charges 10%,46.269421,BRAND EVENTS,TIMESOL FACILITY MANAGEMENT PVT LTD,Office Supplies,OFFICE UTILITIES,,
450452830030,Institutional,Internal Events,People,Pension & Savings Benefit,Top Up for all ABI Employees,31912.54649,MEDICAL SERVICES,The New India Assurance Co Ltd,Health Benefits & Life Insurance,PEOPLE,,
450415079330,Institutional,Internal Events,Taxes,Other Taxes,GST@18%,8.334624,BRAND EVENTS,TIMESOL FACILITY MANAGEMENT PVT LTD,Office Supplies,OFFICE UTILITIES,,
450415079340,Institutional,Internal Events,Travel,Business Travel,Transport charges,22.9815,BRAND EVENTS,TIMESOL FACILITY MANAGEMENT PVT LTD,Office Supplies,OFFICE UTILITIES,,
450279590030,#N/A,#N/A,#N/A,#N/A,Photography charges (Photo Shoot + on sp,149.538423,INTERNAL EVENT ORGANISATION,COCKTAILZ,Lease of Vehicle,LEASES AND RENTALS,,
450279590040,#N/A,#N/A,#N/A,#N/A,Taxes,54.749755,INTERNAL EVENT ORGANISATION,COCKTAILZ,Lease of Vehicle,LEASES AND RENTALS,,
450286344820,#N/A,#N/A,#N/A,#N/A,hiring cost for Somendra-Career Net,1513.509332,RECRUITMENT,CareerNet Technologies Pvt. Ltd.,Consultant,FEES,,
450286344830,#N/A,#N/A,#N/A,#N/A,hiring cost for Prashanth-Career Net,4905.745994,RECRUITMENT,CareerNet Technologies Pvt. Ltd.,Consultant,FEES,,
450405660420,Travel,Training Travel,Travel,Business Travel,Mr Mauro Altuve Hotel Stay,3849.216046,TRAVEL ACCOMODATION,Aloft Bengaluru Cessna Business Par,Travel - Lodging,TRAVEL,,
450405660430,Travel,Training Travel,Travel,Business Travel,Mr Jenner Castillo Hotel Stay,3076.428072,TRAVEL ACCOMODATION,Aloft Bengaluru Cessna Business Par,Travel - Lodging,TRAVEL,,
4502400243160,#N/A,#N/A,#N/A,#N/A,Transportation,75.333246,GRAPHIC DESIGN,COCKTAILZ,Lease of Vehicle,LEASES AND RENTALS,,
450442985620,Institutional,Internal Events,Institutional,Internal Events,LCD projector with Screen,93.852005,BRAND EVENTS,Charishma hotels Pvt Ltd(Park Plaza,Catering / Cafeteria / Vending,PEOPLE,,
450405677820,Travel,Training Travel,Travel,Business Travel,Mr. Henrique Novo stay charges,4910.972659,TRAVEL ACCOMODATION,Charishma hotels Pvt Ltd(Park Plaza,Catering / Cafeteria / Vending,PEOPLE,,
450405677830,Travel,Training Travel,Travel,Business Travel,Mr. Henrique Novo stay charges,4732.446398,TRAVEL ACCOMODATION,Charishma hotels Pvt Ltd(Park Plaza,Catering / Cafeteria / Vending,PEOPLE,,
450405677840,Travel,Training Travel,Travel,Business Travel,Ms. Alexandra Vargas stay charges,3341.671704,TRAVEL ACCOMODATION,Charishma hotels Pvt Ltd(Park Plaza,Catering / Cafeteria / Vending,PEOPLE,,
450278538820,#N/A,#N/A,#N/A,#N/A,Installation & Commissioning Charges,403.753743,IT/ TELECOM SERVICE,Epitome Infotech Solutions Pvt Ltd,Application Support,TECHNOLOGY,,
450405677850,Travel,Training Travel,Travel,Business Travel,Mrs. Giovanna Trunci stay charges,1753.048267,TRAVEL ACCOMODATION,Charishma hotels Pvt Ltd(Park Plaza,Catering / Cafeteria / Vending,PEOPLE,,
450279590120,#N/A,#N/A,#N/A,#N/A,Service Charges,104.676896,IT/ TELECOM SERVICE,Epitome Infotech Solutions Pvt Ltd,Application Support,TECHNOLOGY,,
450405677860,Travel,Training Travel,Travel,Business Travel,Mr. Henrique Novo stay charges,1460.240701,TRAVEL ACCOMODATION,Charishma hotels Pvt Ltd(Park Plaza,Catering / Cafeteria / Vending,PEOPLE,,
450281889620,#N/A,#N/A,#N/A,#N/A,Service Charges,104.143963,IT/ TELECOM SERVICE,Epitome Infotech Solutions Pvt Ltd,Application Support,TECHNOLOGY,,
450405677870,Travel,Training Travel,Travel,Business Travel,Ms. Alexandra Vargas stay charges,973.917405,TRAVEL ACCOMODATION,Charishma hotels Pvt Ltd(Park Plaza,Catering / Cafeteria / Vending,PEOPLE,,
450405677880,Travel,Training Travel,Travel,Business Travel,Mr. Henrique Novo stay charges,776.206461,TRAVEL ACCOMODATION,Charishma hotels Pvt Ltd(Park Plaza,Catering / Cafeteria / Vending,PEOPLE,,
450405677890,Travel,Training Travel,Travel,Business Travel,Mrs. Giovanna Trunci stay charges,1443.199558,TRAVEL ACCOMODATION,Charishma hotels Pvt Ltd(Park Plaza,Catering / Cafeteria / Vending,PEOPLE,,
4504056778100,#N/A,#N/A,#N/A,#N/A,Mr. Henrique Novo stay charges,518.935726,TRAVEL ACCOMODATION,Charishma hotels Pvt Ltd(Park Plaza,Catering / Cafeteria / Vending,PEOPLE,,
450288871630,#N/A,#N/A,#N/A,#N/A,"SNTC-24X7X4OS Cisco DX80, No Radio, TAA",1824.403805,IT/ TELECOM SERVICE,AT&T Communication Services India P,Telecom - Telephone Services,TECHNOLOGY,,
450288871640,#N/A,#N/A,#N/A,#N/A,SWSS UPGRADES UC Manager-10.x Enhanced S,72.347045,IT/ TELECOM SERVICE,AT&T Communication Services India P,Telecom - Telephone Services,TECHNOLOGY,,
450406114620,#N/A,#N/A,#N/A,#N/A,Mr Mauro Altuve Hotel Stay,3849.216046,TRAVEL ACCOMODATION,Aloft Bengaluru Cessna Business Par,Travel - Lodging,TRAVEL,,
450406114630,#N/A,#N/A,#N/A,#N/A,Mr Jenner Castillo Hotel Stay,3076.428072,TRAVEL ACCOMODATION,Aloft Bengaluru Cessna Business Par,Travel - Lodging,TRAVEL,,
450417470220,Travel,Training Travel,Travel,Business Travel,Alexandra Vargas Stay Chrgs,2789.709007,TRAVEL ACCOMODATION,Charishma hotels Pvt Ltd(Park Plaza,Catering / Cafeteria / Vending,PEOPLE,,
4503059419120,#N/A,#N/A,#N/A,#N/A,Photographer,82.450469,INTERNAL EVENT ORGANISATION,M LIVE EVENTS AND PROMOTIONS PRIVAT,Catering / Cafeteria / Vending,PEOPLE,,
450381674020,Fees,Consulting (recurring),Fees,Consulting (project-based),SD Consultants Shortage fix,8808,BUSINESS CONSULTANCY,SD Communications Limited,Office Supplies,OFFICE UTILITIES,,
450392214720,Fees,Consulting (recurring),Taxes,Other Taxes,Service tax,6388.931152,BUSINESS CONSULTANCY,AFFINE ANALYTICS PRIVATE LIMITED,Catering / Cafeteria / Vending,PEOPLE,,
450416761620,Legal,Legal Fees,Legal,Legal Fees,Statutory Compliances RJ Associates Jul,1317.2996,LEGAL SERVICES,RJ Associates,Expert Fees,LEGAL,Legal,Legal Fees
450294062640,Technology,Datacenter,Technology,Telecom Services,SNTC-8X5XNBDOS Catalyst 3850 48 POE LAN,2460.48862,IT/ TELECOM SERVICE,AT&T Communication Services India P,Telecom - Telephone Services,TECHNOLOGY,,
4503059419150,#N/A,#N/A,#N/A,#N/A,Female Anchor,224.864915,INTERNAL EVENT ORGANISATION,M LIVE EVENTS AND PROMOTIONS PRIVAT,Catering / Cafeteria / Vending,PEOPLE,,
450416761630,Legal,Legal Fees,Legal,Legal Fees,Statutory Compliances RJ Associates Aug,1343.115486,LEGAL SERVICES,RJ Associates,Expert Fees,LEGAL,Legal,Legal Fees
450314575220,#N/A,#N/A,#N/A,#N/A,TCS India BU Transition,3753.452519,PROJECT SERVICES,TATA CONSULTANCY SERVICES LTD,Legal,LEGAL,,
